Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"M Anisetti, CA Ardagna, A Balestrucci…","On the robustness of random forest against untargeted data poisoning: An ensemble-based approach",2023,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10175648/","https://scholar.google.com/scholar?cites=6556963381121537986&as_sdt=2005&sciodt=2007&hl=en",172,"2026-01-28 13:54:56","","","",,,,,,27,9.00,7,4,3,"… approach for random forest, assuming poisoning attacks … data poisoning attacks to the accuracy of random forest. Our hash-based ensemble is based on hash functions to route data …","https://ieeexplore.ieee.org/iel7/7274860/7742329/10175648.pdf","https://scholar.google.com/scholar?q=related:wlf-cHQD_1oJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
8,"M Rosenblatt, D Scheinost","Data poisoning attack and defenses in Connectome-Based predictive models",2022,"Workshop on the Ethical and Philosophical …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-23223-7_1","https://scholar.google.com/scholar?cites=4239477924700590656&as_sdt=2005&sciodt=2007&hl=en",173,"2026-01-28 13:54:56","","10.1007/978-3-031-23223-7_1","",,,,,,8,2.00,4,2,4,"… While there are other existing roadblocks to the clinical utility of machine learning with fMRI [4, 21], we believe that data poisoning is an important and overlooked consideration. …","","https://scholar.google.com/scholar?q=related:QJLj9rWm1ToJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
99,"X Xiao, Z Tang, C Li, B Xiao, K Li","SCA: Sybil-based collusion attacks of IIoT data poisoning in federated learning",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9767718/","https://scholar.google.com/scholar?cites=17609203240915014533&as_sdt=2005&sciodt=2007&hl=en",174,"2026-01-28 13:54:56","","","",,,,,,99,24.75,20,5,4,"… data for poisoning training without being detected. The most commonly used data poisoning methods are backdoor poisoning … conduct poisoning training on the massive data generated …","https://www4.comp.polyu.edu.hk/~csbxiao/paper/2022/TII-Sybil-based%20collusion%20attacks.pdf","https://scholar.google.com/scholar?q=related:hZNl0Ax1YPQJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
24,"EM Kornaropoulos, S Ren, R Tamassia","The price of tailoring the index to your data: Poisoning attacks on learned index structures",2022,"… on Management of Data","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3514221.3517867","https://scholar.google.com/scholar?cites=12095538640085405545&as_sdt=2005&sciodt=2007&hl=en",175,"2026-01-28 13:54:56","","10.1145/3514221.3517867","",,,,,,24,6.00,8,3,4,"… the rst study of data poisoning attacks on learned index structures. Our poisoning approach is di … on the training set has a cascading impact on multiple data values. We formulate the rst …","https://dl.acm.org/doi/pdf/10.1145/3514221.3517867","https://scholar.google.com/scholar?q=related:aU9N6U7826cJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
12,"J Lai, T Wang, C Chen, Y Li, Z Zheng","VFedAD: A defense method based on the information mechanism behind the vertical federated data poisoning attack",2023,"Proceedings of the 32nd ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3583780.3615106","https://scholar.google.com/scholar?cites=878826068552681006&as_sdt=2005&sciodt=2007&hl=en",176,"2026-01-28 13:54:56","","10.1145/3583780.3615106","",,,,,,12,4.00,2,5,3,"… forms of data poisoning attacks against vertical federated learning. Then, we reveal the impact of data poisoning attacks on the information structure of vertical federated data. Finally, …","https://dl.acm.org/doi/pdf/10.1145/3583780.3615106","https://scholar.google.com/scholar?q=related:LoZvM6c3MgwJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
42,"C Xu, J Wang, Y Tang, F Guzmán…","A targeted attack on black-box neural machine translation with parallel data poisoning",2021,"Proceedings of the web …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3442381.3450034","https://scholar.google.com/scholar?cites=3402590221878453203&as_sdt=2005&sciodt=2007&hl=en",177,"2026-01-28 13:54:56","","10.1145/3442381.3450034","",,,,,,42,8.40,8,5,5,"… employ a state-of-the-art parallel data miner to extract the parallel sentences. We find that … “legitimate” parallel data. Secondly, we explore parallel data poisoning on two common NMT …","https://dl.acm.org/doi/pdf/10.1145/3442381.3450034","https://scholar.google.com/scholar?q=related:02NIc8dtOC8J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
22,"S Seetharaman, S Malaviya, R Vasu…","Influence based defense against data poisoning attacks in online learning",2022,"2022 14th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9668557/","https://scholar.google.com/scholar?cites=15466367541196553548&as_sdt=2005&sciodt=2007&hl=en",178,"2026-01-28 13:54:56","","","",,,,,,22,5.50,6,4,4,"… We develop a defense mechanism against data poisoning attack which is … Here a data poisoning attack is defined as: Definition 1: Data poisoning attacker takes as input a feasible data …","https://arxiv.org/pdf/2104.13230","https://scholar.google.com/scholar?q=related:TP2mmlWTo9YJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
187,"N Baracaldo, B Chen, H Ludwig, JA Safavi","Mitigating poisoning attacks on machine learning models: A data provenance based approach",2017,"Proceedings of the 10th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3128572.3140450","https://scholar.google.com/scholar?cites=776704546139345654&as_sdt=2005&sciodt=2007&hl=en",179,"2026-01-28 13:54:56","","10.1145/3128572.3140450","",,,,,,187,20.78,47,4,9,"… applications to consume data sources in … data sets and the other to fully untrusted data sets. Finally, we evaluate our methodology against existing methods to detect poison data …","https://dl.acm.org/doi/pdf/10.1145/3128572.3140450","https://scholar.google.com/scholar?q=related:9hIRaKtoxwoJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
1,"HQ Luo-Chen, D Segura, C Baena…","Attack on Data: Poisoning and Evasion in E2E Services for Cellular Networks",2025,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11298517/","https://scholar.google.com/scholar?cites=4616805604204164825&as_sdt=2005&sciodt=2007&hl=en",180,"2026-01-28 13:54:56","","","",,,,,,1,1.00,0,4,1,"… ML algorithms learn existing patterns in the data to predict the … the data from any unintended alteration. In this paper, the focus is centred on the attacks on the data, namely poisoning …","https://ieeexplore.ieee.org/iel8/25/4356907/11298517.pdf","https://scholar.google.com/scholar?q=related:2TafczwwEkAJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
24,"E Wallace, TZ Zhao, S Feng…","Customizing triggers with concealed data poisoning",2020,"arXiv preprint arXiv …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/6d8d/d81f2d18e86b2fa23d52ef14dbcba39864b4.pdf","https://scholar.google.com/scholar?cites=4549009849461257826&as_sdt=2005&sciodt=2007&hl=en",181,"2026-01-28 13:54:56","PDF","","",,,,,,24,4.00,6,4,6,"… Industry considers data poisoning the attack that would affect their business the most.[2] … Intuition: Data poisoning success at least partially related to overfitting. … Scanning 9% of …","https://pdfs.semanticscholar.org/6d8d/d81f2d18e86b2fa23d52ef14dbcba39864b4.pdf","https://scholar.google.com/scholar?q=related:YjbkPFtUIT8J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
